sim_id,utid,uid,experiment,sign,trial_name,judgement,judgement_accuracy,judgement_to_MAP,judgement_to_weighted_MAP,part_theta,part_indirect_errors,theta,sigma,internal_state,decay_rate,ground_truth,map_graph,accuracy,map_graph_weighted,accuracy_weighted,model_indirect_errors,theta_MAP,sigma_MAP,theta_MAP_weighted,sigma_MAP_weighted,converged,0->1,0->2,1->0,1->2,2->0,2->1,theta_H,sigma_H,num_indirect_links,indirect_links_loc
3-6106ac34408681f3b0d07396-dampened_2-generic_0-es_0.5_3.0-is_LC_discrete_att_&_att_0.0,3-6106ac34408681f3b0d07396-dampened_2-generic_0,,3,,dampened,[ 0.   0.5  0.  -0.5  0.  -1. ],0.700575264,0.6654251974408971,0.665425197,0.5,1,0.5,3,LC_discrete_att_&_att,0,[-1.  -0.5  0.  -1.   0.   0. ],[-1.   0.   0.  -1.   0.   0.5],0.882555956,[-1.  -0.   0.  -1.  -0.   0.5],0.882555956,1,,,,,,0.000286955,0.031280507,1.68e-28,4.28e-39,0.011264395,0.018805119,,,1,[False  True False False False False]
3-6106ac34408681f3b0d07396-finance_1-congruent-es_0.5_3.0-is_LC_discrete_att_&_att_0.0,3-6106ac34408681f3b0d07396-finance_1-congruent,,3,,finance,[-0.5 -1.   0.5 -0.5  1.   0.5],0.534400154,0.5823654652077216,0.582365465,0.5,1,0.5,3,LC_discrete_att_&_att,0,[ 0.   0.5  0.  -0.5 -1.  -0.5],[ 0.   0.5  0.5 -0.5 -1.  -0.5],0.916375799,[-0.   0.5  0.5 -0.5 -1.  -0.5],0.916375799,1,,,,,,9.96e-30,1.4500000000000001e-58,2.51e-25,9.99e-24,6.88e-25,7.8e-19,,,2,[ True False  True False False False]
3-6106ac34408681f3b0d07396-pos_chain_3-generic_1-es_0.5_3.0-is_LC_discrete_att_&_att_0.0,3-6106ac34408681f3b0d07396-pos_chain_3-generic_1,,3,pos,chain,[1.  0.5 0.  1.  0.  0. ],0.914250707,1.0,1.0,0.5,1,0.5,3,LC_discrete_att_&_att,0,[1 0 0 1 0 0],[1.  0.5 0.  1.  0.  0. ],0.914250707,[ 1.   0.5 -0.   1.  -0.   0. ],0.914250707,1,,,,,,1.22e-77,1.59e-51,1.93e-69,2.36e-72,6.47e-26,3.99e-24,,,1,[False  True False False False False]
3-610abbbb784eea92360657e0-crime_0-congruent-es_0.5_3.0-is_LC_discrete_att_&_att_0.0,3-610abbbb784eea92360657e0-crime_0-congruent,,3,,crime,[ 0.   0.5  0.5 -0.5  0.   0. ],0.913613157,0.9098330365332568,0.909833037,0.5,0,0.5,3,LC_discrete_att_&_att,0,[ 0.   0.5  0.5 -1.   0.   0. ],[ 0.   0.5  0.5 -1.   0.   0. ],1.0,[ 0.   0.5  0.5 -1.   0.   0. ],1.0,0,,,,,,1.3100000000000001e-73,4.46e-51,6.990000000000001e-129,8e-43,3.22e-30,1.8e-28,,,1,[False False False  True False False]
3-610abbbb784eea92360657e0-dampened_2-generic_0-es_0.5_3.0-is_LC_discrete_att_&_att_0.0,3-610abbbb784eea92360657e0-dampened_2-generic_0,,3,,dampened,[-0.5 -0.5  0.  -0.5  0.   0. ],0.882555956,0.8438262381113939,0.843826238,0.5,1,0.5,3,LC_discrete_att_&_att,0,[-1.  -0.5  0.  -1.   0.   0. ],[-1.  0.  0. -1.  0.  0.],0.91695452,[-1. -0.  0. -1.  0.  0.],0.91695452,1,,,,,,2e-105,3.21e-13,2.33e-78,1.4199999999999998e-61,2.46e-34,5.720000000000001e-35,,,1,[False  True False False False False]
3-610abbbb784eea92360657e0-finance_0-incongruent-es_0.5_3.0-is_LC_discrete_att_&_att_0.0,3-610abbbb784eea92360657e0-finance_0-incongruent,,3,,finance,[ 0.5 -1.   0.   0.  -1.  -1. ],0.919935923,0.9221501055838477,0.922150106,0.5,0,0.5,3,LC_discrete_att_&_att,0,[ 0 -1  0  0 -1 -1],[ 0. -1.  0.  0. -1. -1.],1.0,[ 0. -1.  0.  0. -1. -1.],1.0,0,,,,,,1.43e-42,7.69e-82,4e-91,2.8100000000000003e-86,5.37e-24,2.18e-31,,,1,[ True False False False False False]
3-610abbbb784eea92360657e0-pos_chain_2-generic_1-es_0.5_3.0-is_LC_discrete_att_&_att_0.0,3-610abbbb784eea92360657e0-pos_chain_2-generic_1,,3,neg,chain,[-1.   0.5  0.  -1.   0.   0. ],0.914250707,1.0,1.0,0.5,1,0.5,3,LC_discrete_att_&_att,0,[-1  0  0 -1  0  0],[-1.   0.5  0.  -1.   0.   0. ],0.914250707,[-1.   0.5 -0.  -1.   0.   0. ],0.914250707,1,,,,,,5.93e-104,6.920000000000001e-47,7.63e-106,3.05e-72,3.7400000000000006e-27,4.46e-35,,,1,[False  True False False False False]
3-611231e33c2e4198943389a9-crime_0-congruent-es_0.5_3.0-is_LC_discrete_att_&_att_0.0,3-611231e33c2e4198943389a9-crime_0-congruent,,3,,crime,[-1.   1.   0.5  0.   0.   0. ],0.809307482,0.7005752641918288,0.91695452,0.5,1,0.5,3,LC_discrete_att_&_att,0,[-1.   0.5  1.  -1.   0.   0. ],[-1.  1. -1. -1.  0.  0.],0.679016662,[-1.  1. -0. -0. -0. -0.],0.766450317,1,,,,,,2.43e-15,8.32e-10,2.321928095,2.321928095,1.64e-26,1.22e-30,,,2,[False  True False  True False False]
3-611231e33c2e4198943389a9-dampened_3-generic_0-es_0.5_3.0-is_LC_discrete_att_&_att_0.0,3-611231e33c2e4198943389a9-dampened_3-generic_0,,3,,dampened,[-1.  -0.5  0.   1.   0.   0. ],0.83390904,0.83390904029252,0.83390904,0.5,0,0.5,3,LC_discrete_att_&_att,0,[-1.   0.5  0.   1.   0.   0. ],[-1.   0.5  0.   1.   0.   0. ],1.0,[-1.   0.5 -0.   1.  -0.   0. ],1.0,0,,,,,,7.13e-07,0.001597759,7.5e-07,5.16e-05,7.41e-05,5.09e-07,,,1,[False  True False False False False]
3-611231e33c2e4198943389a9-finance_0-incongruent-es_0.5_3.0-is_LC_discrete_att_&_att_0.0,3-611231e33c2e4198943389a9-finance_0-incongruent,,3,,finance,[ 0.  -0.5  0.5  0.   1.   0. ],0.916375799,0.913613157441864,0.913613157,0.5,0,0.5,3,LC_discrete_att_&_att,0,[ 0.  -0.5  0.5  0.5  1.   0. ],[ 0.  -0.5  0.5  0.5  1.   0. ],1.0,[-0.  -0.5  0.5  0.5  1.  -0. ],1.0,0,,,,,,0.000388339,0.000794435,0.010916528,0.000271733,3.69e-25,1.88e-14,,,2,[False False  True  True False False]
