sim_id,utid,uid,experiment,sign,trial_name,judgement,judgement_accuracy,judgement_to_MAP,judgement_to_weighted_MAP,part_theta,part_indirect_errors,theta,sigma,internal_state,ground_truth,map_graph,accuracy,map_graph_weighted,accuracy_weighted,model_indirect_errors,theta_MAP,sigma_MAP,theta_MAP_weighted,sigma_MAP_weighted,converged,0->1,0->2,1->0,1->2,2->0,2->1,theta_H,sigma_H,num_indirect_links,indirect_links_loc
1-5999ad2a0ed7ae0001991b57-crime_3-label-es_0.5_3.0-is_LC_discrete_&_1_,1-5999ad2a0ed7ae0001991b57-crime_3-label,,1,,crime,[-1.  -0.5  1.  -1.   0.5  0.5],0.860427368,0.8719631200671041,0.87196312,0.5,0,0.5,3,LC_discrete_&_11,[-1.  -0.5  1.  -0.5  0.   0. ],[-1.  -0.5  1.  -0.5  0.   0. ],1.0,[-1.  -0.5  1.  -0.5 -0.   0. ],1.0,0,,,,,,4.4700000000000005e-35,3.36e-45,3.97e-58,4.9900000000000006e-21,5.459999999999999e-115,7.21e-19,,,2,[False  True False  True False False]
1-5999ad2a0ed7ae0001991b57-pos_chain_3-generic_2-es_0.5_3.0-is_LC_discrete_&_1_,1-5999ad2a0ed7ae0001991b57-pos_chain_3-generic_2,,1,pos,chain,[1.  0.5 0.  0.5 0.  0. ],0.878732187,0.913613157441864,0.913613157,0.5,1,0.5,3,LC_discrete_&_12,[1 0 0 1 0 0],[1.  0.5 0.  1.  0.  0. ],0.914250707,[ 1.   0.5  0.   1.  -0.   0. ],0.914250707,1,,,,,,1.09e-19,3.1499999999999995e-23,4.35e-47,5.72e-40,9.36e-97,5.5499999999999996e-89,,,1,[False  True False False False False]
1-5aead02c78b0060001e6b394-ccause_3-generic_0-es_0.5_3.0-is_LC_discrete_&_1_,1-5aead02c78b0060001e6b394-ccause_3-generic_0,,1,,ccause,[0.5 0.5 0.  0.  0.  0. ],0.878732187,0.8126828376836612,0.812682838,0.5,0,0.5,3,LC_discrete_&_13,[1 1 0 0 0 0],[ 1.   1.   0.   0.5 -0.5  0. ],0.878732187,[ 1.   1.  -0.   0.5 -0.5  0. ],0.878732187,0,,,,,,2.23e-85,7.52e-61,4.15e-15,1.03e-61,1.09e-25,6.24e-23,,,0,[False False False False False False]
1-5aead02c78b0060001e6b394-collider_3-generic_1-es_0.5_3.0-is_LC_discrete_&_1_,1-5aead02c78b0060001e6b394-collider_3-generic_1,,1,,collider,[0.  0.5 0.5 0.5 0.  0. ],0.851477869,0.8438262381113939,0.843826238,0.5,0,0.5,3,LC_discrete_&_14,[0 1 0 1 0 0],[-0.5  0.5  0.   1.   0.   0. ],0.878732187,[-0.5  0.5  0.   1.   0.  -0. ],0.878732187,0,,,,,,1.3e-16,2.13e-49,5.4800000000000005e-70,3.35e-36,3.97e-170,2.37e-174,,,0,[False False False False False False]
1-5aead02c78b0060001e6b394-crime_control_1-nolabel_control-es_0.5_3.0-is_LC_discrete_&_1_,1-5aead02c78b0060001e6b394-crime_control_1-nolabel_control,,1,control,crime,[-0.5  0.   0.5 -0.5  0.   0. ],0.860427368,0.8724846573873324,0.872484657,0.5,1,0.5,3,LC_discrete_&_15,[-1.  -0.5  1.  -0.5  0.   0. ],[-1.   0.   1.  -0.5  0.   0. ],0.919417704,[-1.  -0.   1.  -0.5  0.   0. ],0.919417704,1,,,,,,9.559999999999999e-61,2.11e-17,3.8e-08,4.2099999999999995e-52,5.719999999999999e-61,5.850000000000001e-27,,,2,[False  True False  True False False]
1-5aead02c78b0060001e6b394-pos_chain_3-generic_3-es_0.5_3.0-is_LC_discrete_&_1_,1-5aead02c78b0060001e6b394-pos_chain_3-generic_3,,1,pos,chain,[-0.5  0.5 -0.5  0.5 -0.5 -0.5],0.679155526,0.6944949536696107,0.694494954,0.5,1,0.5,3,LC_discrete_&_16,[1 0 0 1 0 0],[1. 1. 0. 1. 0. 0.],0.828501415,[ 1.  1. -0.  1.  0.  0.],0.828501415,1,,,,,,2e-56,6.45e-66,2.55e-112,1.14e-135,2.51e-196,0.001906745,,,1,[False  True False False False False]
1-5b8bbd437073290001839123-ccause_2-generic_0-es_0.5_3.0-is_LC_discrete_&_1_,1-5b8bbd437073290001839123-ccause_2-generic_0,,1,,ccause,[0.5 0.5 0.  0.  0.  0. ],0.878732187,0.8675467642934956,0.867546764,0.5,0,0.5,3,LC_discrete_&_17,[1 1 0 0 0 0],[1. 1. 0. 0. 0. 0.],1.0,[ 1.  1.  0.  0. -0.  0.],1.0,0,,,,,,1.0399999999999998e-23,1.34e-20,3.7e-123,1.2199999999999999e-98,3.0400000000000004e-37,1.38e-24,,,0,[False False False False False False]
1-5b8bbd437073290001839123-collider_3-generic_1-es_0.5_3.0-is_LC_discrete_&_1_,1-5b8bbd437073290001839123-collider_3-generic_1,,1,,collider,[ 0.  -0.5 -0.5  0.5  0.   0. ],0.715601771,0.7009500136951298,0.700950014,0.5,0,0.5,3,LC_discrete_&_18,[0 1 0 1 0 0],[0. 1. 0. 1. 0. 0.],1.0,[ 0.  1.  0.  1.  0. -0.],1.0,0,,,,,,5.920000000000001e-43,4.800000000000001e-37,2.21e-116,5.04e-134,5.2800000000000005e-166,6.970000000000001e-57,,,0,[False False False False False False]
1-5b8bbd437073290001839123-crime_2-label-es_0.5_3.0-is_LC_discrete_&_1_,1-5b8bbd437073290001839123-crime_2-label,,1,,crime,[-1.  -0.5  0.5 -0.5  0.   0. ],0.919417704,0.8817375208021835,0.881737521,0.5,0,0.5,3,LC_discrete_&_19,[-1.  -0.5  1.  -0.5  0.   0. ],[-1.  -0.5  1.  -0.5  0.   0.5],0.919417704,[-1.  -0.5  1.  -0.5 -0.   0.5],0.919417704,0,,,,,,2.66e-86,4.51e-34,1.8e-50,6.95e-87,6.23e-65,1.6e-57,,,2,[False  True False  True False False]
1-5b8bbd437073290001839123-pos_chain_2-generic_2-es_0.5_3.0-is_LC_discrete_&_1_,1-5b8bbd437073290001839123-pos_chain_2-generic_2,,1,neg,chain,[-1.   0.5  0.  -0.5  0.   0. ],0.878732187,0.8778305556436947,0.877830556,0.5,1,0.5,3,LC_discrete_&_20,[-1  0  0 -1  0  0],[-1.  1.  0. -1.  0.  0.],0.828501415,[-1.  1.  0. -1. -0. -0.],0.828501415,1,,,,,,1e-97,5.67e-24,5.54e-88,7.04e-180,9.51e-123,1.4300000000000002e-144,,,1,[False  True False False False False]
1-5bcdd6be25295a0001a71beb-ccause_2-generic_0-es_0.5_3.0-is_LC_discrete_&_1_,1-5bcdd6be25295a0001a71beb-ccause_2-generic_0,,1,,ccause,[ 1.   1.   0.  -0.5  0.   0. ],0.914250707,0.8825559560970593,0.882555956,0.5,0,0.5,3,LC_discrete_&_21,[1 1 0 0 0 0],[1.  1.  0.  0.  0.  0.5],0.914250707,[1.  1.  0.  0.  0.  0.5],0.914250707,0,,,,,,4.1e-76,1.1900000000000001e-80,0.0,0.0,1.62e-121,1.9e-130,,,0,[False False False False False False]
1-5bcdd6be25295a0001a71beb-collider_3-generic_1-es_0.5_3.0-is_LC_discrete_&_1_,1-5bcdd6be25295a0001a71beb-collider_3-generic_1,,1,,collider,[ 0.   1.  -0.5  1.   0.  -0.5],0.878732187,0.886039423540362,0.886039424,0.5,0,0.5,3,LC_discrete_&_22,[0 1 0 1 0 0],[0. 1. 0. 1. 0. 0.],1.0,[-0.  1. -0.  1.  0.  0.],1.0,0,,,,,,3.2799999999999995e-95,2.04e-42,7.84e-152,1.42e-94,0.0,0.0,,,0,[False False False False False False]
1-5bcdd6be25295a0001a71beb-crime_3-label-es_0.5_3.0-is_LC_discrete_&_1_,1-5bcdd6be25295a0001a71beb-crime_3-label,,1,,crime,[-1.  -0.5  1.  -1.   0.  -0.5],0.886039424,0.8927887465162205,0.892788747,0.5,0,0.5,3,LC_discrete_&_23,[-1.  -0.5  1.  -0.5  0.   0. ],[-1.  -0.5  1.  -0.5  0.   0. ],1.0,[-1.  -0.5  1.  -0.5 -0.   0. ],1.0,0,,,,,,4.49e-149,1.29e-142,8.82e-178,2.63e-186,1.3700000000000002e-259,6.37e-91,,,2,[False  True False  True False False]
1-5bcdd6be25295a0001a71beb-pos_chain_3-generic_2-es_0.5_3.0-is_LC_discrete_&_1_,1-5bcdd6be25295a0001a71beb-pos_chain_3-generic_2,,1,pos,chain,[ 1.   1.  -0.5  1.   0.  -0.5],0.789957987,0.8304841240947974,0.830484124,0.5,1,0.5,3,LC_discrete_&_24,[1 0 0 1 0 0],[1.  1.  0.  1.  0.  0.5],0.808258753,[1.  1.  0.  1.  0.  0.5],0.808258753,1,,,,,,1.07e-165,5.3600000000000005e-269,2.46e-214,0.0,0.0,0.0,,,1,[False  True False False False False]
1-5be87e33a14b540001aa2ea5-ccause_3-generic_0-es_0.5_3.0-is_LC_discrete_&_1_,1-5be87e33a14b540001aa2ea5-ccause_3-generic_0,,1,,ccause,[ 0.5  0.5  0.   0.   0.  -0.5],0.851477869,0.8438262381113939,0.843826238,0.5,0,0.5,3,LC_discrete_&_25,[1 1 0 0 0 0],[1. 1. 0. 0. 0. 0.],1.0,[ 1.  1. -0.  0. -0.  0.],1.0,0,,,,,,3.02e-28,1.38e-42,1.1999999999999998e-188,6.04e-183,6.91e-120,2.05e-33,,,0,[False False False False False False]
1-5be87e33a14b540001aa2ea5-collider_3-generic_1-es_0.5_3.0-is_LC_discrete_&_1_,1-5be87e33a14b540001aa2ea5-collider_3-generic_1,,1,,collider,[ 0.   0.5  0.   0.5  0.  -0.5],0.851477869,0.8438262381113939,0.843826238,0.5,0,0.5,3,LC_discrete_&_26,[0 1 0 1 0 0],[0. 1. 0. 1. 0. 0.],1.0,[-0.  1.  0.  1.  0.  0.],1.0,0,,,,,,4.57e-93,2.19e-131,2.9e-196,9.44e-202,0.0,1.7e-259,,,0,[False False False False False False]
1-56da8da8c5b248000ae2adaf-ccause_3-generic_0-es_0.5_3.0-is_LC_discrete_&_1_,1-56da8da8c5b248000ae2adaf-ccause_3-generic_0,,1,,ccause,[0.5 0.5 0.  0.  0.  0. ],0.878732187,0.8126828376836612,0.812682838,0.5,0,0.5,3,LC_discrete_&_27,[1 1 0 0 0 0],[1.  1.  0.  0.5 0.  0.5],0.878732187,[ 1.   1.  -0.   0.5 -0.   0.5],0.878732187,0,,,,,,1.53e-79,4.11e-62,3.85e-53,4.35e-32,3.89e-43,1.43e-93,,,0,[False False False False False False]
