sim_id,utid,uid,experiment,sign,trial_name,judgement,judgement_accuracy,judgement_to_MAP,judgement_to_weighted_MAP,part_theta,part_indirect_errors,theta,sigma,internal_state,ground_truth,map_graph,accuracy,map_graph_weighted,accuracy_weighted,model_indirect_errors,theta_MAP,sigma_MAP,theta_MAP_weighted,sigma_MAP_weighted,converged,0->1,0->2,1->0,1->2,2->0,2->1,theta_H,sigma_H,num_indirect_links,indirect_links_loc
1-56da8da8c5b248000ae2adaf-collider_2-generic_1-es_0.5_3.0-is_LC_discrete_&_1_,1-56da8da8c5b248000ae2adaf-collider_2-generic_1,,1,,collider,[0.  0.5 0.  0.5 0.  0. ],0.636196562,0.6623091832470147,0.683794426,0.5,0,0.5,3,LC_discrete_&_28,[ 0 -1  0 -1  0  0],[ 0.  -1.   0.  -0.5  0.   0. ],0.914250707,[ 0.   -0.86  0.   -0.5  -0.   -0.  ],0.910952755,0,,,,,,2.03e-43,0.863236456,7.260000000000001e-27,2.85e-05,1.48e-141,1.44e-128,,,0,[False False False False False False]
1-56da8da8c5b248000ae2adaf-crime_4-label-es_0.5_3.0-is_LC_discrete_&_1_,1-56da8da8c5b248000ae2adaf-crime_4-label,,1,,crime,[-0.5  0.   0.5 -0.5  0.   0. ],0.860427368,0.8438262381113939,0.842076482,0.5,0,0.5,3,LC_discrete_&_29,[-1.  -0.5  1.  -0.5  0.   0. ],[-1.  -0.5  1.  -0.5  0.   0. ],1.0,[-1.   -0.5   1.   -0.5  -0.    0.13],0.979048603,0,,,,,,1.6e-41,1.4399999999999999e-68,7.259999999999999e-42,5.9e-65,3.93e-22,0.833816264,,,2,[False  True False  True False False]
1-56da8da8c5b248000ae2adaf-pos_chain_3-generic_2-es_0.5_3.0-is_LC_discrete_&_1_,1-56da8da8c5b248000ae2adaf-pos_chain_3-generic_2,,1,pos,chain,[1.  0.5 0.  0.5 0.  0.5],0.851477869,0.8551586351244197,0.855158635,0.5,1,0.5,3,LC_discrete_&_30,[1 0 0 1 0 0],[1. 1. 0. 1. 0. 0.],0.828501415,[1. 1. 0. 1. 0. 0.],0.828501415,1,,,,,,5.13e-112,1.24e-58,1.02e-81,1.74e-162,2.41e-121,3.94e-36,,,1,[False  True False False False False]
1-57e91ff08dcd2c00014bea18-ccause_2-generic_0-es_0.5_3.0-is_LC_discrete_&_1_,1-57e91ff08dcd2c00014bea18-ccause_2-generic_0,,1,,ccause,[0.5 0.5 0.  0.  0.  0. ],0.878732187,0.8377785788692375,0.837778579,0.5,0,0.5,3,LC_discrete_&_31,[1 1 0 0 0 0],[1.  1.  0.  0.5 0.  0. ],0.914250707,[ 1.   1.  -0.   0.5 -0.   0. ],0.914250707,0,,,,,,6.030000000000001e-36,3.77e-111,3.1e-104,3.18e-36,7.299999999999999e-55,8.93e-38,,,0,[False False False False False False]
1-57e91ff08dcd2c00014bea18-collider_2-generic_1-es_0.5_3.0-is_LC_discrete_&_1_,1-57e91ff08dcd2c00014bea18-collider_2-generic_1,,1,,collider,[ 0. -1.  0. -1.  0.  0.],1.0,1.0,1.0,0.5,0,0.5,3,LC_discrete_&_32,[ 0 -1  0 -1  0  0],[ 0. -1.  0. -1.  0.  0.],1.0,[ 0. -1.  0. -1.  0.  0.],1.0,0,,,,,,1.44e-105,8.09e-178,1.52e-104,2.03e-162,6.169999999999999e-187,1.2699999999999999e-153,,,0,[False False False False False False]
1-57e91ff08dcd2c00014bea18-crime_control_3-nolabel_control-es_0.5_3.0-is_LC_discrete_&_1_,1-57e91ff08dcd2c00014bea18-crime_control_3-nolabel_control,,1,control,crime,[-1.  -0.5  0.5 -0.5  0.   0. ],0.919417704,0.8817375208021835,0.881737521,0.5,0,0.5,3,LC_discrete_&_33,[-1.  -0.5  1.  -0.5  0.   0. ],[-1.  -0.5  1.  -0.5  0.   0.5],0.919417704,[-1.  -0.5  1.  -0.5  0.   0.5],0.919417704,0,,,,,,6.47e-80,7.07e-138,3.2799999999999998e-229,4.16e-202,8.22e-124,3.01e-21,,,2,[False  True False  True False False]
1-57e91ff08dcd2c00014bea18-pos_chain_3-generic_3-es_0.5_3.0-is_LC_discrete_&_1_,1-57e91ff08dcd2c00014bea18-pos_chain_3-generic_3,,1,pos,chain,[1.  0.5 0.  1.  0.  0. ],0.914250707,1.0,1.0,0.5,1,0.5,3,LC_discrete_&_34,[1 0 0 1 0 0],[1.  0.5 0.  1.  0.  0. ],0.914250707,[ 1.   0.5 -0.   1.  -0.  -0. ],0.914250707,1,,,,,,6.24e-135,6.73e-153,9.74e-88,2.97e-185,2.53e-166,2.86e-171,,,1,[False  True False False False False]
1-5999ad2a0ed7ae0001991b57-ccause_3-generic_0-es_0.5_3.0-is_LC_discrete_&_1_,1-5999ad2a0ed7ae0001991b57-ccause_3-generic_0,,1,,ccause,[ 1.   1.   0.  -0.5  0.   0. ],0.914250707,0.91695452014626,0.91695452,0.5,0,0.5,3,LC_discrete_&_35,[1 1 0 0 0 0],[1. 1. 0. 0. 0. 0.],1.0,[1. 1. 0. 0. 0. 0.],1.0,0,,,,,,4.52e-16,3.92e-25,8.1e-84,2.63e-59,1.5200000000000002e-37,0.000534562,,,0,[False False False False False False]
1-5999ad2a0ed7ae0001991b57-collider_3-generic_1-es_0.5_3.0-is_LC_discrete_&_1_,1-5999ad2a0ed7ae0001991b57-collider_3-generic_1,,1,,collider,[0.  0.5 0.5 1.  0.  0. ],0.878732187,0.8778305556436947,0.877781698,0.5,0,0.5,3,LC_discrete_&_36,[0 1 0 1 0 0],[0. 1. 0. 1. 0. 0.],1.0,[-0.    1.    0.    0.98 -0.    0.  ],0.996570028,0,,,,,,3.53e-63,4.79e-09,4.8599999999999995e-45,0.196327953,1.09e-98,2.17e-159,,,0,[False False False False False False]
1-5999ad2a0ed7ae0001991b57-crime_3-label-es_0.5_3.0-is_LC_discrete_&_1_,1-5999ad2a0ed7ae0001991b57-crime_3-label,,1,,crime,[-1.  -0.5  1.  -1.   0.5  0.5],0.860427368,0.8719631200671041,0.87196312,0.5,0,0.5,3,LC_discrete_&_37,[-1.  -0.5  1.  -0.5  0.   0. ],[-1.  -0.5  1.  -0.5  0.   0. ],1.0,[-1.  -0.5  1.  -0.5 -0.   0. ],1.0,0,,,,,,4.4700000000000005e-35,3.36e-45,3.97e-58,4.9900000000000006e-21,5.459999999999999e-115,7.21e-19,,,2,[False  True False  True False False]
1-5999ad2a0ed7ae0001991b57-pos_chain_3-generic_2-es_0.5_3.0-is_LC_discrete_&_1_,1-5999ad2a0ed7ae0001991b57-pos_chain_3-generic_2,,1,pos,chain,[1.  0.5 0.  0.5 0.  0. ],0.878732187,0.913613157441864,0.913613157,0.5,1,0.5,3,LC_discrete_&_38,[1 0 0 1 0 0],[1.  0.5 0.  1.  0.  0. ],0.914250707,[ 1.   0.5  0.   1.  -0.   0. ],0.914250707,1,,,,,,1.09e-19,3.1499999999999995e-23,4.35e-47,5.72e-40,9.36e-97,5.5499999999999996e-89,,,1,[False  True False False False False]
1-5aead02c78b0060001e6b394-ccause_3-generic_0-es_0.5_3.0-is_LC_discrete_&_1_,1-5aead02c78b0060001e6b394-ccause_3-generic_0,,1,,ccause,[0.5 0.5 0.  0.  0.  0. ],0.878732187,0.8126828376836612,0.812682838,0.5,0,0.5,3,LC_discrete_&_39,[1 1 0 0 0 0],[ 1.   1.   0.   0.5 -0.5  0. ],0.878732187,[ 1.   1.  -0.   0.5 -0.5  0. ],0.878732187,0,,,,,,2.23e-85,7.52e-61,4.15e-15,1.03e-61,1.09e-25,6.24e-23,,,0,[False False False False False False]
1-5aead02c78b0060001e6b394-collider_3-generic_1-es_0.5_3.0-is_LC_discrete_&_1_,1-5aead02c78b0060001e6b394-collider_3-generic_1,,1,,collider,[0.  0.5 0.5 0.5 0.  0. ],0.851477869,0.8438262381113939,0.843826238,0.5,0,0.5,3,LC_discrete_&_40,[0 1 0 1 0 0],[-0.5  0.5  0.   1.   0.   0. ],0.878732187,[-0.5  0.5  0.   1.   0.  -0. ],0.878732187,0,,,,,,1.3e-16,2.13e-49,5.4800000000000005e-70,3.35e-36,3.97e-170,2.37e-174,,,0,[False False False False False False]
1-5aead02c78b0060001e6b394-crime_control_1-nolabel_control-es_0.5_3.0-is_LC_discrete_&_1_,1-5aead02c78b0060001e6b394-crime_control_1-nolabel_control,,1,control,crime,[-0.5  0.   0.5 -0.5  0.   0. ],0.860427368,0.8724846573873324,0.872484657,0.5,1,0.5,3,LC_discrete_&_41,[-1.  -0.5  1.  -0.5  0.   0. ],[-1.   0.   1.  -0.5  0.   0. ],0.919417704,[-1.  -0.   1.  -0.5  0.   0. ],0.919417704,1,,,,,,9.559999999999999e-61,2.11e-17,3.8e-08,4.2099999999999995e-52,5.719999999999999e-61,5.850000000000001e-27,,,2,[False  True False  True False False]
1-5aead02c78b0060001e6b394-pos_chain_3-generic_3-es_0.5_3.0-is_LC_discrete_&_1_,1-5aead02c78b0060001e6b394-pos_chain_3-generic_3,,1,pos,chain,[-0.5  0.5 -0.5  0.5 -0.5 -0.5],0.679155526,0.6944949536696107,0.694494954,0.5,1,0.5,3,LC_discrete_&_42,[1 0 0 1 0 0],[1. 1. 0. 1. 0. 0.],0.828501415,[ 1.  1. -0.  1.  0.  0.],0.828501415,1,,,,,,2e-56,6.45e-66,2.55e-112,1.14e-135,2.51e-196,0.001906745,,,1,[False  True False False False False]
1-5b8bbd437073290001839123-ccause_2-generic_0-es_0.5_3.0-is_LC_discrete_&_1_,1-5b8bbd437073290001839123-ccause_2-generic_0,,1,,ccause,[0.5 0.5 0.  0.  0.  0. ],0.878732187,0.8675467642934956,0.867546764,0.5,0,0.5,3,LC_discrete_&_43,[1 1 0 0 0 0],[1. 1. 0. 0. 0. 0.],1.0,[ 1.  1.  0.  0. -0.  0.],1.0,0,,,,,,1.0399999999999998e-23,1.34e-20,3.7e-123,1.2199999999999999e-98,3.0400000000000004e-37,1.38e-24,,,0,[False False False False False False]
1-5b8bbd437073290001839123-collider_3-generic_1-es_0.5_3.0-is_LC_discrete_&_1_,1-5b8bbd437073290001839123-collider_3-generic_1,,1,,collider,[ 0.  -0.5 -0.5  0.5  0.   0. ],0.715601771,0.7009500136951298,0.700950014,0.5,0,0.5,3,LC_discrete_&_44,[0 1 0 1 0 0],[0. 1. 0. 1. 0. 0.],1.0,[ 0.  1.  0.  1.  0. -0.],1.0,0,,,,,,5.920000000000001e-43,4.800000000000001e-37,2.21e-116,5.04e-134,5.2800000000000005e-166,6.970000000000001e-57,,,0,[False False False False False False]
