sim_id,utid,uid,experiment,sign,trial_name,judgement,judgement_accuracy,judgement_to_MAP,judgement_to_weighted_MAP,part_theta,part_indirect_errors,theta,sigma,internal_state,ground_truth,map_graph,accuracy,map_graph_weighted,accuracy_weighted,model_indirect_errors,theta_MAP,sigma_MAP,theta_MAP_weighted,sigma_MAP_weighted,converged,0->1,0->2,1->0,1->2,2->0,2->1,theta_H,sigma_H,num_indirect_links,indirect_links_loc
2-5f6875b05e3bc74d0dee825e-crime_1-implausible-es_0.5_3.0-is_normative_&_1_,2-5f6875b05e3bc74d0dee825e-crime_1-implausible,,2,,crime,[ 1.  -1.  -1.   1.   1.  -0.5],0.840280859,0.8438262381113939,0.843826238,0.5,0,0.5,3,normative_&_393,[ 1 -1 -1  0  1 -1],[ 1. -1. -1.  0.  1. -1.],1.0,[ 1. -1. -1.  0.  1. -1.],1.0,0,,,,,,1.0699999999999999e-255,1.93e-115,4.720000000000001e-163,1.59e-48,1.34e-177,2.21e-19,,,2,[False False False  True False  True]
2-5f6875b05e3bc74d0dee825e-estate_1-congruent-es_0.5_3.0-is_normative_&_1_,2-5f6875b05e3bc74d0dee825e-estate_1-congruent,,2,,estate,[-0.5  0.   1.   0.   1.   0.5],0.886039424,0.886039423540362,0.886039424,0.5,0,0.5,3,normative_&_394,[-0.5  0.   1.   0.   0.5  1. ],[-0.5  0.   1.   0.   0.5  1. ],1.0,[-0.5  0.   1.   0.   0.5  1. ],1.0,0,,,,,,1.06e-178,4.16e-152,1.31e-77,6.92e-76,9.779999999999999e-91,1.06e-178,,,2,[False False False False  True  True]
2-5f6875b05e3bc74d0dee825e-finance_1-incongruent-es_0.5_3.0-is_normative_&_1_,2-5f6875b05e3bc74d0dee825e-finance_1-incongruent,,2,,finance,[ 1.  1.  1.  1.  1. -1.],0.565475905,0.6464466094067263,0.646446609,0.5,0,0.5,3,normative_&_395,[-0.5  0.5  0.  -0.5  1.   0. ],[-0.5  0.5  0.  -0.5  1.   0. ],1.0,[-0.5  0.5  0.  -0.5  1.   0. ],1.0,0,,,,,,5.47e-162,1.54e-169,3.61e-136,3.54e-108,4.61e-220,5.47e-162,,,3,[False  True  True False False  True]
2-5f6875b05e3bc74d0dee825e-pos_chain_3-generic_0-es_0.5_3.0-is_normative_&_1_,2-5f6875b05e3bc74d0dee825e-pos_chain_3-generic_0,,2,pos,chain,[0. 0. 0. 1. 0. 0.],0.828501415,0.79238630036565,0.7923863,0.5,1,0.5,3,normative_&_396,[1 0 0 1 0 0],[ 0.5 -1.   0.   1.   0.   0. ],0.808258753,[ 0.5 -1.   0.   1.   0.  -0. ],0.808258753,1,,,,,,0.056882954,0.037310335,1.36e-165,5.82e-122,0.0,3.5299999999999995e-287,,,1,[False  True False False False False]
2-5f6a7d0d9d705213a0db27e2-crime_3-congruent-es_0.5_3.0-is_normative_&_1_,2-5f6a7d0d9d705213a0db27e2-crime_3-congruent,,2,,crime,[ 1.  -1.   1.  -1.  -0.5  1. ],0.686374976,0.7036811210051231,0.703681121,0.5,0,0.5,3,normative_&_397,[-1.  -0.5  1.  -1.  -0.5  0.5],[-1.  -0.5  1.  -1.  -0.5  0.5],1.0,[-1.  -0.5  1.  -1.  -0.5  0.5],1.0,0,,,,,,1.31e-131,2.86e-109,4.74e-121,1.5799999999999998e-246,3.9999999999999997e-138,2.02e-184,,,5,[ True  True False  True  True  True]
2-5f6a7d0d9d705213a0db27e2-estate_3-incongruent-es_0.5_3.0-is_normative_&_1_,2-5f6a7d0d9d705213a0db27e2-estate_3-incongruent,,2,,estate,[-1. -1.  1.  1.  1.  1.],0.835601013,0.8333333333333334,0.833333333,0.5,0,0.5,3,normative_&_398,[ 0.  -0.5  1.   1.   1.   1. ],[ 0.  -0.5  0.5  1.   1.   1. ],0.926478538,[ 0.  -0.5  0.5  1.   1.   1. ],0.926478538,0,,,,,,0.0,1.15892e-318,7.470000000000001e-57,1.15892e-318,7.470000000000001e-57,0.0,,,2,[ True False False  True False False]
2-5f6a7d0d9d705213a0db27e2-finance_3-implausible-es_0.5_3.0-is_normative_&_1_,2-5f6a7d0d9d705213a0db27e2-finance_3-implausible,,2,,finance,[-0.5  0.5  1.   1.  -1.  -1. ],0.834705099,0.8394596752330161,0.839459675,0.5,0,0.5,3,normative_&_399,[ 0.5  0.5  0.5  1.  -1.  -1. ],[ 0.5  0.5  0.5  1.  -1.  -1. ],1.0,[ 0.5  0.5  0.5  1.  -1.  -1. ],1.0,0,,,,,,3.54e-145,2.3400000000000003e-257,8.27e-158,4.33e-230,2.28e-190,1.62e-93,,,5,[ True  True  True False  True  True]
2-5f6a7d0d9d705213a0db27e2-pos_chain_3-generic_0-es_0.5_3.0-is_normative_&_1_,2-5f6a7d0d9d705213a0db27e2-pos_chain_3-generic_0,,2,pos,chain,[ 0.   1.   0.   1.   0.  -0.5],0.742752122,0.91695452014626,0.916689198,0.5,1,0.5,3,normative_&_400,[1 0 0 1 0 0],[0. 1. 0. 1. 0. 0.],0.757464375,[ 0.04  1.   -0.    1.    0.   -0.  ],0.762265596,1,,,,,,0.472562378,0.002024334,1.6e-16,1.6e-16,1.6e-16,1.6e-16,,,1,[False  True False False False False]
2-5f75cc1fb0741626d6634281-confound_1-generic_0-es_0.5_3.0-is_normative_&_1_,2-5f75cc1fb0741626d6634281-confound_1-generic_0,,2,neg,confound,[-1.   0.5  0.  -1.   0.   0. ],1.0,0.91695452014626,0.91695452,0.5,1,0.5,3,normative_&_401,[-1.   0.5  0.  -1.   0.   0. ],[-1.  0.  0. -1.  0.  0.],0.91695452,[-1.  0.  0. -1.  0. -0.],0.91695452,1,,,,,,1.16e-220,2.1100000000000002e-29,2.39e-87,2.13e-211,2.39e-87,1.49e-301,,,1,[False  True False False False False]
2-5f75cc1fb0741626d6634281-crime_3-congruent-es_0.5_3.0-is_normative_&_1_,2-5f75cc1fb0741626d6634281-crime_3-congruent,,2,,crime,[-1.   0.5  0.5 -0.5  0.5  0.5],0.844300211,0.8423779187521798,0.842377919,0.5,0,0.5,3,normative_&_402,[-1.   0.   1.  -1.   0.   0.5],[-1.   0.   1.  -1.   0.   0.5],1.0,[-1.  -0.   1.  -1.  -0.   0.5],1.0,0,,,,,,4.03e-182,3.68e-304,3.4e-131,8.85e-231,7.19e-141,1.34e-199,,,2,[False  True False False  True False]
